model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,abejingas,▁ abejingas,-19.30161952972412,"[[""Tu"", -1.1554769277572632], [""Kur"", -2.1819329261779785], [""Tau"", -2.8237662315368652], [""Jūs"", -2.879390239715576], [""Kai"", -2.974792003631592], [""Žmogus"", -3.3345389366149902], [""Kas"", -3.4767861366271973], [""Jam"", -3.7923388481140137], [""Man"", -3.842545986175537], [""Tai"", -3.896369457244873], [""Vienas"", -4.337893009185791], [""Koks"", -4.536910533905029], [""Vakar"", -4.544906139373779], [""Čia"", -4.569581508636475], [""Kaip"", -4.681286334991455], [""Tam"", -4.788980007171631], [""Jonas"", -4.866366863250732], [""Kam"", -4.9350361824035645], [""Deivis"", -5.0120930671691895], [""Šiandien"", -5.073183536529541]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,abejingas,▁ abejingas,-7.3920578956604,"[[""Tu"", -1.1554769277572632], [""Kur"", -2.1819329261779785], [""Tau"", -2.8237662315368652], [""Jūs"", -2.879390239715576], [""Kai"", -2.974792003631592], [""Žmogus"", -3.3345389366149902], [""Kas"", -3.4767861366271973], [""Jam"", -3.7923388481140137], [""Man"", -3.842545986175537], [""Tai"", -3.896369457244873], [""Vienas"", -4.337893009185791], [""Koks"", -4.536910533905029], [""Vakar"", -4.544906139373779], [""Čia"", -4.569581508636475], [""Kaip"", -4.681286334991455], [""Tam"", -4.788980007171631], [""Jonas"", -4.866366863250732], [""Kam"", -4.9350361824035645], [""Deivis"", -5.0120930671691895], [""Šiandien"", -5.073183536529541]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,abejojantis,▁abejoja ntis,-17.994881629943848,"[[""Tai"", -0.8231964111328125], [""Kas"", -2.0983047485351562], [""Žmogus"", -3.659449577331543], [""Kai"", -3.6980037689208984], [""Tu"", -3.745798110961914], [""Vienas"", -3.7928504943847656], [""Kaip"", -4.028375625610352], [""Koks"", -4.079692840576172], [""Petras"", -4.098165512084961], [""Kur"", -4.105999946594238], [""Spektaklis"", -4.256031036376953], [""Dabar"", -4.489824295043945], [""Man"", -4.604927062988281], [""Ne"", -4.733808517456055], [""Jie"", -4.7733306884765625], [""Šiandien"", -4.8540449142456055], [""Ji"", -4.859302520751953], [""Čia"", -4.976248741149902], [""Jonas"", -5.0049285888671875], [""Ar"", -5.037759780883789]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,abejojantis,▁abejoja ntis,-4.859302520751953,"[[""Tai"", -0.8231964111328125], [""Kas"", -2.0983047485351562], [""Žmogus"", -3.659449577331543], [""Kai"", -3.6980037689208984], [""Tu"", -3.745798110961914], [""Vienas"", -3.7928504943847656], [""Kaip"", -4.028375625610352], [""Koks"", -4.079692840576172], [""Petras"", -4.098165512084961], [""Kur"", -4.105999946594238], [""Spektaklis"", -4.256031036376953], [""Dabar"", -4.489824295043945], [""Man"", -4.604927062988281], [""Ne"", -4.733808517456055], [""Jie"", -4.7733306884765625], [""Šiandien"", -4.8540449142456055], [""Ji"", -4.859302520751953], [""Čia"", -4.976248741149902], [""Jonas"", -5.0049285888671875], [""Ar"", -5.037759780883789]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,absurdiškas,▁absurdišk a s,-18.441031455993652,"[[""Tai"", -1.4360220432281494], [""Kas"", -2.175161600112915], [""Spektaklis"", -2.6656277179718018], [""Muzika"", -2.925938844680786], [""Koncertas"", -3.0939743518829346], [""Koks"", -3.4059317111968994], [""Kaip"", -3.7753822803497314], [""Kur"", -4.000425338745117], [""Vienas"", -4.07276725769043], [""Žmogus"", -4.115939140319824], [""Tu"", -4.294063568115234], [""Petras"", -4.329766273498535], [""Kai"", -4.525450706481934], [""Jonas"", -4.890511512756348], [""Ne"", -4.896510124206543], [""Taip"", -5.100272178649902], [""Kova"", -5.117020606994629], [""Ar"", -5.134525299072266], [""Čia"", -5.256614685058594], [""Ir"", -5.2984466552734375]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,absurdiškas,▁absurdišk a s,-5.356821060180664,"[[""Tai"", -1.4360220432281494], [""Kas"", -2.175161600112915], [""Spektaklis"", -2.6656277179718018], [""Muzika"", -2.925938844680786], [""Koncertas"", -3.0939743518829346], [""Koks"", -3.4059317111968994], [""Kaip"", -3.7753822803497314], [""Kur"", -4.000425338745117], [""Vienas"", -4.07276725769043], [""Žmogus"", -4.115939140319824], [""Tu"", -4.294063568115234], [""Petras"", -4.329766273498535], [""Kai"", -4.525450706481934], [""Jonas"", -4.890511512756348], [""Ne"", -4.896510124206543], [""Taip"", -5.100272178649902], [""Kova"", -5.117020606994629], [""Ar"", -5.134525299072266], [""Čia"", -5.256614685058594], [""Ir"", -5.2984466552734375]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,agresyvus,▁ agresyvus,-19.880186080932617,"[[""Kas"", -1.372336745262146], [""Kur"", -1.8450654745101929], [""Koks"", -2.450131893157959], [""Tai"", -3.3898463249206543], [""Tu"", -3.449312686920166], [""Deivis"", -3.7028632164001465], [""Jonas"", -3.774509906768799], [""Žmogus"", -3.8161845207214355], [""Kada"", -4.010681629180908], [""Kai"", -4.313796520233154], [""Vienas"", -4.3138203620910645], [""Tomas"", -4.32058572769165], [""Darius"", -4.415132999420166], [""Kaip"", -4.6476263999938965], [""Petras"", -4.667949199676514], [""Ir"", -4.772670269012451], [""Vakar"", -4.824487209320068], [""Vytautas"", -4.854424953460693], [""Ar"", -4.914371013641357], [""Mama"", -4.916989803314209]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,agresyvus,▁ agresyvus,-6.567651271820068,"[[""Kas"", -1.372336745262146], [""Kur"", -1.8450654745101929], [""Koks"", -2.450131893157959], [""Tai"", -3.3898463249206543], [""Tu"", -3.449312686920166], [""Deivis"", -3.7028632164001465], [""Jonas"", -3.774509906768799], [""Žmogus"", -3.8161845207214355], [""Kada"", -4.010681629180908], [""Kai"", -4.313796520233154], [""Vienas"", -4.3138203620910645], [""Tomas"", -4.32058572769165], [""Darius"", -4.415132999420166], [""Kaip"", -4.6476263999938965], [""Petras"", -4.667949199676514], [""Ir"", -4.772670269012451], [""Vakar"", -4.824487209320068], [""Vytautas"", -4.854424953460693], [""Ar"", -4.914371013641357], [""Mama"", -4.916989803314209]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,aistringas,▁aistringa s,-17.43900156021118,"[[""Tai"", -1.3831372261047363], [""Kas"", -1.528191089630127], [""Koks"", -1.9056401252746582], [""Kur"", -2.5223584175109863], [""Kaip"", -3.697807788848877], [""Spektaklis"", -4.127400875091553], [""Tu"", -4.216975688934326], [""Kai"", -4.241150379180908], [""Žmogus"", -4.257241725921631], [""Ar"", -4.316720485687256], [""Kada"", -4.330393314361572], [""Ir"", -4.357509136199951], [""Čia"", -4.4831624031066895], [""Koncertas"", -4.528213024139404], [""Vienas"", -4.614144802093506], [""Muzika"", -5.02819299697876], [""Petras"", -5.071787357330322], [""Tada"", -5.302780628204346], [""Kuri"", -5.372847080230713], [""Ne"", -5.421684741973877]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,aistringas,▁aistringa s,-6.433311939239502,"[[""Tai"", -1.3831372261047363], [""Kas"", -1.528191089630127], [""Koks"", -1.9056401252746582], [""Kur"", -2.5223584175109863], [""Kaip"", -3.697807788848877], [""Spektaklis"", -4.127400875091553], [""Tu"", -4.216975688934326], [""Kai"", -4.241150379180908], [""Žmogus"", -4.257241725921631], [""Ar"", -4.316720485687256], [""Kada"", -4.330393314361572], [""Ir"", -4.357509136199951], [""Čia"", -4.4831624031066895], [""Koncertas"", -4.528213024139404], [""Vienas"", -4.614144802093506], [""Muzika"", -5.02819299697876], [""Petras"", -5.071787357330322], [""Tada"", -5.302780628204346], [""Kuri"", -5.372847080230713], [""Ne"", -5.421684741973877]]"
