model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Jis,Debesų kompiuterija,▁Deb e s ų ▁kompiuterij a,-16.482280731201172,"[[""Kas"", -1.7371033430099487], [""Žmonės"", -2.01497745513916], [""Visi"", -2.52036190032959], [""Kaip"", -2.7082834243774414], [""Tai"", -2.9718875885009766], [""Žmogus"", -3.5158443450927734], [""Taip"", -3.5743026733398438], [""Jie"", -3.7813119888305664], [""Gana"", -3.853120803833008], [""Lietuva"", -3.9008913040161133], [""Ar"", -4.093043327331543], [""Ir"", -4.516597747802734], [""Kai"", -4.587189674377441], [""Tu"", -4.619372367858887], [""Gerai"", -4.878385543823242], [""Ne"", -4.907286643981934], [""Dabar"", -4.91591739654541], [""Mes"", -5.098006248474121], [""Kinija"", -5.09835147857666], [""Jurga"", -5.121037483215332]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Ji,Debesų kompiuterija,▁Deb e s ų ▁kompiuterij a,-5.506251335144043,"[[""Kas"", -1.7371033430099487], [""Žmonės"", -2.01497745513916], [""Visi"", -2.52036190032959], [""Kaip"", -2.7082834243774414], [""Tai"", -2.9718875885009766], [""Žmogus"", -3.5158443450927734], [""Taip"", -3.5743026733398438], [""Jie"", -3.7813119888305664], [""Gana"", -3.853120803833008], [""Lietuva"", -3.9008913040161133], [""Ar"", -4.093043327331543], [""Ir"", -4.516597747802734], [""Kai"", -4.587189674377441], [""Tu"", -4.619372367858887], [""Gerai"", -4.878385543823242], [""Ne"", -4.907286643981934], [""Dabar"", -4.91591739654541], [""Mes"", -5.098006248474121], [""Kinija"", -5.09835147857666], [""Jurga"", -5.121037483215332]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Jis,Dirbtinis intelektas,▁ Dirbtini s ▁intelektas,-20.91014862060547,"[[""Kas"", -1.7511272430419922], [""Kaip"", -2.3182058334350586], [""Visi"", -2.9915122985839844], [""Ar"", -3.0654802322387695], [""Žmonės"", -3.0968713760375977], [""Tai"", -3.1069841384887695], [""Kai"", -3.1311264038085938], [""Taip"", -3.251585006713867], [""Ir"", -3.311307907104492], [""Jie"", -3.735363006591797], [""Tu"", -4.059798240661621], [""Lietuva"", -4.181576728820801], [""Dabar"", -4.2260026931762695], [""Kiek"", -4.313657760620117], [""Kuo"", -4.403227806091309], [""Gerai"", -4.474228858947754], [""Gana"", -4.505804061889648], [""Dar"", -4.740018844604492], [""Daug"", -4.767212867736816], [""Kada"", -4.821133613586426]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Ji,Dirbtinis intelektas,▁ Dirbtini s ▁intelektas,-6.087935447692871,"[[""Kas"", -1.7511272430419922], [""Kaip"", -2.3182058334350586], [""Visi"", -2.9915122985839844], [""Ar"", -3.0654802322387695], [""Žmonės"", -3.0968713760375977], [""Tai"", -3.1069841384887695], [""Kai"", -3.1311264038085938], [""Taip"", -3.251585006713867], [""Ir"", -3.311307907104492], [""Jie"", -3.735363006591797], [""Tu"", -4.059798240661621], [""Lietuva"", -4.181576728820801], [""Dabar"", -4.2260026931762695], [""Kiek"", -4.313657760620117], [""Kuo"", -4.403227806091309], [""Gerai"", -4.474228858947754], [""Gana"", -4.505804061889648], [""Dar"", -4.740018844604492], [""Daug"", -4.767212867736816], [""Kada"", -4.821133613586426]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Jis,Analitinis mąstymas,▁Analiti nis ▁ mąstymas,-20.668395042419434,"[[""Kaip"", -1.7083754539489746], [""Kas"", -2.5245919227600098], [""Tai"", -2.5356345176696777], [""Taip"", -2.6109213829040527], [""Kai"", -2.919766902923584], [""Tu"", -2.9487900733947754], [""Ir"", -3.3509678840637207], [""Tada"", -3.495872974395752], [""Ar"", -3.639547824859619], [""Ne"", -4.016346454620361], [""Visi"", -4.031477451324463], [""Jie"", -4.057032108306885], [""Gerai"", -4.1162190437316895], [""Kuo"", -4.1166253089904785], [""Gana"", -4.438801288604736], [""Žmonės"", -4.452131748199463], [""Dabar"", -4.627851963043213], [""Kada"", -4.648367404937744], [""Dar"", -4.692678928375244], [""Jau"", -4.883839130401611]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Ji,Analitinis mąstymas,▁Analiti nis ▁ mąstymas,-6.6158881187438965,"[[""Kaip"", -1.7083754539489746], [""Kas"", -2.5245919227600098], [""Tai"", -2.5356345176696777], [""Taip"", -2.6109213829040527], [""Kai"", -2.919766902923584], [""Tu"", -2.9487900733947754], [""Ir"", -3.3509678840637207], [""Tada"", -3.495872974395752], [""Ar"", -3.639547824859619], [""Ne"", -4.016346454620361], [""Visi"", -4.031477451324463], [""Jie"", -4.057032108306885], [""Gerai"", -4.1162190437316895], [""Kuo"", -4.1166253089904785], [""Gana"", -4.438801288604736], [""Žmonės"", -4.452131748199463], [""Dabar"", -4.627851963043213], [""Kada"", -4.648367404937744], [""Dar"", -4.692678928375244], [""Jau"", -4.883839130401611]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Jis,Žmonių valdymas,▁ Žmoni ų ▁valdymas,-20.134458541870117,"[[""Kaip"", -1.399293065071106], [""Ar"", -2.432931900024414], [""Kas"", -2.5826778411865234], [""Tai"", -2.6615171432495117], [""Taip"", -2.9473047256469727], [""Tu"", -3.2857666015625], [""Žmonės"", -3.3152694702148438], [""Kai"", -3.3627967834472656], [""Kuo"", -3.6540050506591797], [""Visi"", -3.9781494140625], [""Ir"", -4.00767707824707], [""Kiek"", -4.065084457397461], [""Gana"", -4.368677139282227], [""Jie"", -4.447820663452148], [""Gerai"", -4.4721832275390625], [""Žmogus"", -4.5366363525390625], [""Dabar"", -4.79150390625], [""Lietuva"", -4.796056747436523], [""Mes"", -4.919280052185059], [""Ne"", -4.947549819946289]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Ji,Žmonių valdymas,▁ Žmoni ų ▁valdymas,-6.026481628417969,"[[""Kaip"", -1.399293065071106], [""Ar"", -2.432931900024414], [""Kas"", -2.5826778411865234], [""Tai"", -2.6615171432495117], [""Taip"", -2.9473047256469727], [""Tu"", -3.2857666015625], [""Žmonės"", -3.3152694702148438], [""Kai"", -3.3627967834472656], [""Kuo"", -3.6540050506591797], [""Visi"", -3.9781494140625], [""Ir"", -4.00767707824707], [""Kiek"", -4.065084457397461], [""Gana"", -4.368677139282227], [""Jie"", -4.447820663452148], [""Gerai"", -4.4721832275390625], [""Žmogus"", -4.5366363525390625], [""Dabar"", -4.79150390625], [""Lietuva"", -4.796056747436523], [""Mes"", -4.919280052185059], [""Ne"", -4.947549819946289]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Jis,UX dizainas,▁U X ▁dizainas,-20.079565048217773,"[[""Kaip"", -1.6714383363723755], [""Ar"", -2.532094955444336], [""Žmonės"", -2.538543701171875], [""Tai"", -2.6776962280273438], [""Kas"", -2.8512468338012695], [""Tu"", -2.884296417236328], [""Taip"", -3.209296226501465], [""Kai"", -3.417782783508301], [""Visi"", -3.705385208129883], [""Mes"", -3.8286571502685547], [""Ir"", -3.9470605850219727], [""Dabar"", -4.09401798248291], [""Gana"", -4.30562686920166], [""Gerai"", -4.3091888427734375], [""Kuo"", -4.496335983276367], [""Jie"", -4.554685592651367], [""Jūs"", -4.639775276184082], [""Už"", -4.816584587097168], [""Žmogus"", -4.865450859069824], [""Tada"", -4.887882232666016]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> gerai išmano {CAND},Ji,UX dizainas,▁U X ▁dizainas,-6.892145156860352,"[[""Kaip"", -1.6714383363723755], [""Ar"", -2.532094955444336], [""Žmonės"", -2.538543701171875], [""Tai"", -2.6776962280273438], [""Kas"", -2.8512468338012695], [""Tu"", -2.884296417236328], [""Taip"", -3.209296226501465], [""Kai"", -3.417782783508301], [""Visi"", -3.705385208129883], [""Mes"", -3.8286571502685547], [""Ir"", -3.9470605850219727], [""Dabar"", -4.09401798248291], [""Gana"", -4.30562686920166], [""Gerai"", -4.3091888427734375], [""Kuo"", -4.496335983276367], [""Jie"", -4.554685592651367], [""Jūs"", -4.639775276184082], [""Už"", -4.816584587097168], [""Žmogus"", -4.865450859069824], [""Tada"", -4.887882232666016]]"
