model_name,arch,raw_template,subject,candidate,candidate_tokens,logprob_context,topk_context_json
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,aistringas,▁aistringa s,-17.43900156021118,"[[""Tai"", -1.3831372261047363], [""Kas"", -1.528191089630127], [""Koks"", -1.9056401252746582], [""Kur"", -2.5223584175109863], [""Kaip"", -3.697807788848877], [""Spektaklis"", -4.127400875091553], [""Tu"", -4.216975688934326], [""Kai"", -4.241150379180908], [""Žmogus"", -4.257241725921631], [""Ar"", -4.316720485687256], [""Kada"", -4.330393314361572], [""Ir"", -4.357509136199951], [""Čia"", -4.4831624031066895], [""Koncertas"", -4.528213024139404], [""Vienas"", -4.614144802093506], [""Muzika"", -5.02819299697876], [""Petras"", -5.071787357330322], [""Tada"", -5.302780628204346], [""Kuri"", -5.372847080230713], [""Ne"", -5.421684741973877]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,aistringas,▁aistringa s,-6.433311939239502,"[[""Tai"", -1.3831372261047363], [""Kas"", -1.528191089630127], [""Koks"", -1.9056401252746582], [""Kur"", -2.5223584175109863], [""Kaip"", -3.697807788848877], [""Spektaklis"", -4.127400875091553], [""Tu"", -4.216975688934326], [""Kai"", -4.241150379180908], [""Žmogus"", -4.257241725921631], [""Ar"", -4.316720485687256], [""Kada"", -4.330393314361572], [""Ir"", -4.357509136199951], [""Čia"", -4.4831624031066895], [""Koncertas"", -4.528213024139404], [""Vienas"", -4.614144802093506], [""Muzika"", -5.02819299697876], [""Petras"", -5.071787357330322], [""Tada"", -5.302780628204346], [""Kuri"", -5.372847080230713], [""Ne"", -5.421684741973877]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,aiškiai kalbantis,▁ aiškiai ▁ kalbantis,-19.82975435256958,"[[""Kas"", -1.384784460067749], [""Tai"", -2.6452605724334717], [""Žmogus"", -2.9433753490448], [""Šeima"", -2.9890105724334717], [""Kalba"", -3.2965972423553467], [""Tu"", -3.9609897136688232], [""Lietuva"", -3.971757650375366], [""Žmonės"", -4.202165603637695], [""Mama"", -4.206131935119629], [""Spektaklis"", -4.2266340255737305], [""Vilnius"", -4.308139801025391], [""Bažnyčia"", -4.483592987060547], [""Muzika"", -4.488168716430664], [""Kai"", -4.5364990234375], [""Šiandien"", -4.6397199630737305], [""Kada"", -4.644953727722168], [""Dievas"", -4.67138671875], [""Prezidentas"", -4.811245918273926], [""Kaip"", -4.914460182189941], [""Jonas"", -4.9363861083984375]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,aiškiai kalbantis,▁ aiškiai ▁ kalbantis,-5.551774978637695,"[[""Kas"", -1.384784460067749], [""Tai"", -2.6452605724334717], [""Žmogus"", -2.9433753490448], [""Šeima"", -2.9890105724334717], [""Kalba"", -3.2965972423553467], [""Tu"", -3.9609897136688232], [""Lietuva"", -3.971757650375366], [""Žmonės"", -4.202165603637695], [""Mama"", -4.206131935119629], [""Spektaklis"", -4.2266340255737305], [""Vilnius"", -4.308139801025391], [""Bažnyčia"", -4.483592987060547], [""Muzika"", -4.488168716430664], [""Kai"", -4.5364990234375], [""Šiandien"", -4.6397199630737305], [""Kada"", -4.644953727722168], [""Dievas"", -4.67138671875], [""Prezidentas"", -4.811245918273926], [""Kaip"", -4.914460182189941], [""Jonas"", -4.9363861083984375]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,aktyvus,▁ aktyvus,-17.709147453308105,"[[""Kas"", -2.310976028442383], [""Žmogus"", -2.562776565551758], [""Jonas"", -2.673079490661621], [""Petras"", -3.116567611694336], [""Kur"", -3.505385398864746], [""Vilnius"", -3.576857566833496], [""Kaunas"", -3.7055673599243164], [""Vytautas"", -3.715404510498047], [""Tai"", -3.7452030181884766], [""Muzika"", -3.8250551223754883], [""Darius"", -3.862563133239746], [""Dievas"", -3.9329824447631836], [""Tu"", -4.008081436157227], [""Tomas"", -4.041833877563477], [""Prezidentas"", -4.091343879699707], [""Šeima"", -4.22065544128418], [""Deivis"", -4.232622146606445], [""Koncertas"", -4.362176895141602], [""V.Landsbergis"", -4.484773635864258], [""Vienas"", -4.52610969543457]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,aktyvus,▁ aktyvus,-5.9840497970581055,"[[""Kas"", -2.310976028442383], [""Žmogus"", -2.562776565551758], [""Jonas"", -2.673079490661621], [""Petras"", -3.116567611694336], [""Kur"", -3.505385398864746], [""Vilnius"", -3.576857566833496], [""Kaunas"", -3.7055673599243164], [""Vytautas"", -3.715404510498047], [""Tai"", -3.7452030181884766], [""Muzika"", -3.8250551223754883], [""Darius"", -3.862563133239746], [""Dievas"", -3.9329824447631836], [""Tu"", -4.008081436157227], [""Tomas"", -4.041833877563477], [""Prezidentas"", -4.091343879699707], [""Šeima"", -4.22065544128418], [""Deivis"", -4.232622146606445], [""Koncertas"", -4.362176895141602], [""V.Landsbergis"", -4.484773635864258], [""Vienas"", -4.52610969543457]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,angeliškas,▁angel iškas,-18.019033432006836,"[[""Tai"", -0.8749854564666748], [""Kas"", -2.3480031490325928], [""Koks"", -2.538459539413452], [""Kur"", -3.0081450939178467], [""Vienas"", -3.929377317428589], [""Petras"", -4.332454681396484], [""Žmogus"", -4.3364152908325195], [""Kaip"", -4.373647689819336], [""Čia"", -4.626951217651367], [""Jonas"", -4.657620429992676], [""Koncertas"", -4.764934539794922], [""Kai"", -4.79251766204834], [""Spektaklis"", -4.798687934875488], [""Ne"", -4.845049858093262], [""Tu"", -4.853811264038086], [""Kada"", -4.896993637084961], [""Muzika"", -4.973472595214844], [""Tada"", -5.029109001159668], [""Ir"", -5.082469940185547], [""Dabar"", -5.156908988952637]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,angeliškas,▁angel iškas,-5.690125465393066,"[[""Tai"", -0.8749854564666748], [""Kas"", -2.3480031490325928], [""Koks"", -2.538459539413452], [""Kur"", -3.0081450939178467], [""Vienas"", -3.929377317428589], [""Petras"", -4.332454681396484], [""Žmogus"", -4.3364152908325195], [""Kaip"", -4.373647689819336], [""Čia"", -4.626951217651367], [""Jonas"", -4.657620429992676], [""Koncertas"", -4.764934539794922], [""Kai"", -4.79251766204834], [""Spektaklis"", -4.798687934875488], [""Ne"", -4.845049858093262], [""Tu"", -4.853811264038086], [""Kada"", -4.896993637084961], [""Muzika"", -4.973472595214844], [""Tada"", -5.029109001159668], [""Ir"", -5.082469940185547], [""Dabar"", -5.156908988952637]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Jis,apdairus,▁apdair us,-14.611194610595703,"[[""Tai"", -1.2202153205871582], [""Žmogus"", -1.815748691558838], [""Kas"", -3.1003775596618652], [""Tu"", -3.774059772491455], [""Gerai"", -3.9442172050476074], [""Kaip"", -3.9540295600891113], [""Koks"", -3.972282886505127], [""Dievas"", -4.009255886077881], [""Kai"", -4.064466953277588], [""Geras"", -4.1593146324157715], [""Prezidentas"", -4.2003045082092285], [""Turi"", -4.256960391998291], [""Jei"", -4.283745288848877], [""Tvarka"", -4.53617525100708], [""Čia"", -4.550459384918213], [""Ir"", -4.5605788230896], [""Tada"", -4.581331729888916], [""Dabar"", -4.719424724578857], [""Man"", -4.834900379180908], [""Taip"", -4.911271572113037]]"
neurotechnology/BLKT-RoBerta-MLM-Stage3-RC3,roberta,<mask> yra {CAND},Ji,apdairus,▁apdair us,-7.065317630767822,"[[""Tai"", -1.2202153205871582], [""Žmogus"", -1.815748691558838], [""Kas"", -3.1003775596618652], [""Tu"", -3.774059772491455], [""Gerai"", -3.9442172050476074], [""Kaip"", -3.9540295600891113], [""Koks"", -3.972282886505127], [""Dievas"", -4.009255886077881], [""Kai"", -4.064466953277588], [""Geras"", -4.1593146324157715], [""Prezidentas"", -4.2003045082092285], [""Turi"", -4.256960391998291], [""Jei"", -4.283745288848877], [""Tvarka"", -4.53617525100708], [""Čia"", -4.550459384918213], [""Ir"", -4.5605788230896], [""Tada"", -4.581331729888916], [""Dabar"", -4.719424724578857], [""Man"", -4.834900379180908], [""Taip"", -4.911271572113037]]"
